Роль,Уровень,Навык,Ожидаемый результат
Продуктовый менеджер,L1 Младший,Выполнение задач под руководством,Прорабатывает user-story под присмотром старших коллег корректно оформляет задачи
Продуктовый менеджер,L1 Младший,Проведение исследований и валидация,Участвует в кастдев-интервью с поддержкой старших коллег проводит конкурентный анализ
Продуктовый менеджер,L1 Младший,Управление бэклогом и приоритизация,Формирует первичный бэклог продукта под руководством старших коллег
Продуктовый менеджер,L1 Младший,Управление метриками и OKR,Изучает метрики продукта их трекинг и способы влияния на них
Продуктовый менеджер,L1 Младший,Определение и управление MVP,Определяет MVP продукта под руководством старших коллег формулирует предложения по MVP
Продуктовый менеджер,L2 Средний,Самостоятельное выполнение задач,Самостоятельно прорабатывает и оформляет user-story проводит исследования
Продуктовый менеджер,L2 Средний,Проведение исследований и валидация,Проводит исследования и валидирует гипотезы через интервью и аналитику
Продуктовый менеджер,L2 Средний,Управление бэклогом и приоритизация,Приоритизирует user-story в рамках заданных целей корректно приоритизирует бэклог
Продуктовый менеджер,L2 Средний,Управление метриками и OKR,Отвечает за метрики продукта в рамках задач достигает целевых метрик в рамках задач
Продуктовый менеджер,L2 Средний,Определение и управление MVP,Определяет MVP для отдельных кейсов количество MVP протестированных в рамках отдельных кейсов
Продуктовый менеджер,L2 Средний,Сопровождение функциональности,Сопровождает функциональность от идеи до релиза своевременный релиз функциональности
Продуктовый менеджер,L3 Старший,Самостоятельное выполнение задач,Самостоятельно инициирует новые продуктовые кейсы генерирует гипотезы
Продуктовый менеджер,L3 Старший,Проведение исследований и валидация,Генерирует и проверяет гипотезы для новых возможностей
Продуктовый менеджер,L3 Старший,Управление бэклогом и приоритизация,Работает с бэклогом направления и формирует roadmap
Продуктовый менеджер,L3 Старший,Управление метриками и OKR,Планирует и ведет продуктовые OKR достигает целевых продуктовых OKR
Продуктовый менеджер,L3 Старший,Определение и управление MVP,Определяет стратегические MVP для направления количество стратегических MVP внедренных в продукт
Продуктовый менеджер,L3 Старший,Кросс-командное взаимодействие,Выстраивает кросс-командную коммуникацию уровень кросс-командного взаимодействия
Продуктовый менеджер,L4 Продвинутый,Проведение исследований и валидация,Анализирует рынок и новые сегменты определяет ключевые метрики успеха
Продуктовый менеджер,L4 Продвинутый,Управление бэклогом и приоритизация,Управляет портфелем гипотез и определяет приоритеты формирует стратегический roadmap
Продуктовый менеджер,L4 Продвинутый,Управление метриками и OKR,Достигает верхнеуровневых метрик продукта (MAU retention NPS) повышает эффективность продукта (LTV ARPU)
Продуктовый менеджер,L4 Продвинутый,Определение и управление MVP,Запуск X стратегических MVP/год
Продуктовый менеджер,L4 Продвинутый,Сопровождение функциональности,Сопровождает функциональность от идеи до релиза выполнение долгосрочного roadmap (12-18 мес.)
Продуктовый менеджер,L4 Продвинутый,Наставничество и развитие команды,Наставляет Middle и Junior-продактов улучшение продуктовых процессов
Продуктовый менеджер,L4 Продвинутый,Стратегическое планирование и vision,Разрабатывает стратегию развития продукта формирует стратегический roadmap
Продуктовый менеджер,L5 Ведущий,Проведение исследований и валидация,Валидирует стратегические гипотезы через исследования формирует Go-to-Market стратегию
Продуктовый менеджер,L5 Ведущий,Управление бэклогом и приоритизация,Разрабатывает долгосрочный vision продукта/портфеля принимает решения по запуску/закрытию инициатив
Продуктовый менеджер,L5 Ведущий,Управление метриками и OKR,Достигает финансовых целей направления (выручка ROI) рост доли рынка
Продуктовый менеджер,L5 Ведущий,Определение и управление MVP,Запуск и масштабирование новых продуктов/направлений
Продуктовый менеджер,L5 Ведущий,Кросс-командное взаимодействие,Эффективность управления продуктовой командой стратегические партнерства и интеграции
Продуктовый менеджер,L5 Ведущий,Наставничество и развитие команды,Управляет группой продактов и аналитиков эффективность управления продуктовой командой
Продуктовый менеджер,L5 Ведущий,Управление ресурсами и бюджетом,Управляет ресурсами и бюджетом на продукты
Продуктовый менеджер,L5 Ведущий,Представление продукта и стратегии,Представляет продукт на уровне C-level
Продуктовый менеджер,L5 Ведущий,Стратегическое планирование и vision,Разрабатывает долгосрочный vision продукта/портфеля формирование vision на 2-3 года
Продуктовый менеджер,L6 Эксперт,Проведение исследований и валидация,Валидирует стратегические гипотезы через исследования рассчитывает бизнес-целесообразность
Продуктовый менеджер,L6 Эксперт,Управление бэклогом и приоритизация,Разрабатывает и защищает стратегию основного продукта/портфеля определяет новые направления развития
Продуктовый менеджер,L6 Эксперт,Управление метриками и OKR,Достигает финансовых целей бизнеса через продукт (выручка EBITDA ROI портфеля) достигает стратегических OKR компании
Продуктовый менеджер,L6 Эксперт,Определение и управление MVP,Запуск и масштабирование стратегических продуктов/направлений
Продуктовый менеджер,L6 Эксперт,Кросс-командное взаимодействие,Управляет кросс-командной коммуникацией для стратегических задач эффективность и развитие продуктовой команды
Продуктовый менеджер,L6 Эксперт,Наставничество и развитие команды,Управляет группой продактов и аналитиков развивает продуктовую культуру компании
Продуктовый менеджер,L6 Эксперт,Управление ресурсами и бюджетом,Рассчитывает бизнес-целесообразность крупных инициатив отвечает за успех всех продуктов
Продуктовый менеджер,L6 Эксперт,Представление продукта и стратегии,Представляет продуктовую стратегию на уровне CEO/CPO формирование и защита долгосрочной стратегии продукта
Продуктовый менеджер,L6 Эксперт,Стратегическое планирование и vision,Формирует долгосрочные цели и ключевые метрики успеха формирование и защита долгосрочной стратегии продукта 